Program ID,University,degree,Funding Opportunities,link
8305,University of Potsdam,Computer Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8305/
9058,Kiel University of Applied Sciences,Computer Science,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9058/
4439,University of Stuttgart,Computer Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4439/
7216,Hof University of Applied Sciences,Computer Science (BSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7216/
4870,Deggendorf Institute of Technology,MSc Applied Computer Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4870/
5616,Paderborn University,Master of Science in Computer Science,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5616/
4455,University of Passau,MSc Computer Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4455/
4591,University of Siegen,Computer Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4591/
7606,University of Bonn,Computer Science,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7606/
8324,Bingen Technical University of Applied Sciences,Master of Science in Computer Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8324/
9856,University of Regensburg,Computer Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9856/
3629,RPTU University of Kaiserslautern-Landau,Computer Science (Master of Science),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3629/
5625,Paderborn University,Master of Science in Computer Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5625/
8601,OTH Regensburg,International Computer Science BSc,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8601/
4249,University of Konstanz,Computer and Information Science (MSc),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4249/
7715,Saarland University,"Computer Science (BSc, English)",Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7715/
4238,Bauhaus-Universität Weimar,Computer Science for Digital Media,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4238/
8352,University of Cologne,Computational Sciences,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8352/
6910,University of Regensburg,Computational Science,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6910/
5551,Schmalkalden University of Applied Sciences,Applied Computer Science (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5551/
4669,Ulm University of Applied Sciences,Computer Science (CTS),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4669/
3645,Saarland University,Saarbrücken Graduate School of Computer Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3645/
8935,Leibniz University Hannover,Computer Science – Master of Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8935/
6148,Kiel University,MSc Computer Science,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6148/
3736,University of Freiburg,MSc Computer Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3736/
9952,Hochschule Fresenius - University of Applied Sciences,Computer Science (BSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9952/
9953,Hochschule Fresenius - University of Applied Sciences,Computer Science (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9953/
3690,University of Wuppertal,Computer Simulation in Science (MSc),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3690/
7051,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Computer Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7051/
8900,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Computer Science,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8900/
5244,University of Bayreuth,Scientific Computing,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5244/
